List of distinct SAS Analysis Formats for STAR tables chosen for this report	Unnamed: 1	Unnamed: 2	Unnamed: 3
ALL_COD	8025	HEMORRHAGE: DISSEMINATED INTRAVAS COAGULATION	N
ALL_COD	8026	IMMUNOSUPPRESSIVE DRUG RELATED - HEMATOLOGIC	N
ALL_COD	8027	IMMUNOSUPPRESSIVE DRUG RELATED - NON-HEMATOLOGIC	N
ALL_COD	8028	INFECTION: BACTERIAL- OTHER SPECIFY	N
ALL_COD	8029	INFECTION: BACTERIAL PNEUMONIA	N
ALL_COD	8030	INFECTION: BACTERIAL SEPTICEMIA	N
ALL_COD	8031	INFECTION: FUNGAL	N
ALL_COD	8032	INFECTION: MIXED OTHER SPECIFY	N
ALL_COD	8033	INFECTION: OTHER SPECIFY	N
ALL_COD	8034	INFECTION: PROTOZOAL	N
ALL_COD	8035	INFECTION: URINARY TRACT	N
ALL_COD	8036	INFECTION: VIRAL	N
ALL_COD	8037	INFECTION: VIRAL- CYTOMEGALOVIRUS (CMV)	N
ALL_COD	8038	INFECTION: VIRAL- HEPATITIS	N
ALL_COD	8039	INTRAOP: NOT HEMORRHAGE - OTHER SPECIFY	N
ALL_COD	8040	MALIG: LYMPHOMA	N
ALL_COD	8041	MALIGNANCY	N
ALL_COD	8042	MALIGNANCY: METASTATIC OTHER SPECIFY	N
ALL_COD	8043	MALIGNANCY: OTHER SPECIFY	N
ALL_COD	8044	MALIGNANCY: POST-TX LYMPHOPROLIFERATIVE	N
ALL_COD	8045	MALIGNANCY: PRIMARY OTHER SPECIFY	N
ALL_COD	8046	MISC - ACID/BASE DISORDER	N
ALL_COD	8047	MISC - FLUID/ELECTROLYTE DISORDER	N
ALL_COD	8048	MISC - MULTIPLE SYSTEM ORGAN FAILURE (MSOF)	N
ALL_COD	8049	MISC: INTRAOPER (NON-HEMORRHAGE OTHER SPECIFY)	N
ALL_COD	8050	MOTOR VEHICLE ACCIDENT	N
ALL_COD	8051	MULTIPLE ORGAN FAILURE	N
ALL_COD	8052	MULTIPLE ORGAN SYSTEM FAILURE	N
ALL_COD	8053	NON-COMPLIANCE	N
ALL_COD	8054	NON-IMMUNO - NON-HEMATOLOGIC, SPECIFY DRUG	N
ALL_COD	8055	NON-IMMUNO DRUG RELATED - HEMATOLOGIC	N
ALL_COD	8056	NON-IMMUNO DRUG RELATED - NON-HEMATOLOGIC, SPECIFY DRUG	N
ALL_COD	8057	OTHER SPECIFY	N
ALL_COD	8058	PULM INSUFF OR EDEMA (EXC PNEUMONIA) (ARDS)	N
ALL_COD	8059	RENAL FAILURE	N
ALL_COD	8060	REPERFUSION SYNDROME	N
ALL_COD	8061	RESPIRATORY FAILURE: OTHER SPECIFY CAUSE	N
ALL_COD	8062	SUICIDE	N
ALL_COD	8063	SUICIDE:ATTEMPTED SUICIDE - DIED LATER	N
ALL_COD	8064	TRAUMA OTHER SPECIFY	N
ALL_COD	8065	TRAUMA: MOTOR VEHICLE	N
ALL_COD	**OTHER**	UNKNOWN	N
ALL_COD	Null or Missing	Not Reported	N
ALL_DGN	100	ALLERGIC BRONCHOPULMONARY ASPERGILLOSIS	N
ALL_DGN	103	BRONCHOPULMONARY DYSPLASIA	N
ALL_DGN	105	CILIARY DYSKINESIS SYNDROME	N
ALL_DGN	106	CONSTRICTIVE BRONCHIOLITIS	N
ALL_DGN	107	DYSMOTILE CILIA SYNDROME	N
ALL_DGN	109	GRANULOMATOUS LUNG DISEASE	N
ALL_DGN	111	KARTAGENER'S SYNDROME	N
ALL_DGN	113	OBSTRUCTIVE LUNG DISEASE	N
ALL_DGN	114	PRIMARY CILIARY DYSKINESIA	N
ALL_DGN	116	TUBEROUS SCLEROSIS	N
ALL_DGN	200	CONGENITAL MALFORMATION	N
ALL_DGN	202	PERIPHERAL PULM ARTERY STENOSIS & 2° PULM HTN	N
ALL_DGN	203	PORTOPULMONARY HYPERTENSION	N
ALL_DGN	205	PULMONARY AV MALFORMATION CONGENITAL HEART DISEASE	N
ALL_DGN	206	PULMONARY THROMBOEMBOLIC DISEASE	N
ALL_DGN	208	PULMONARY VENO-OCCLUSIVE DISEASE	N
ALL_DGN	209	PULMONIC STENOSIS	N
ALL_DGN	210	RIGHT HYPOPLASTIC LUNG	N
ALL_DGN	212	THROMBOEMBOLIC PULMONARY HYPERTENSION	N
ALL_DGN	213	WEGENER'S GRANULOMA - RESTRICTIVE	N
ALL_DGN	214	WEGENER'S GRANULOMA - BRONCHIECTASIS	N
ALL_DGN	215	CREST - RESTRICTIVE	N
ALL_DGN	216	CREST - PULMONARY HYPERTENSION	N
ALL_DGN	217	PULMONARY TELANGIECTASIA - RESTRICTIVE	N
ALL_DGN	218	PULMONARY TELANGIECTASIA - PULMONARY HYPERTENSION	N
ALL_DGN	219	SCLERODERMA - RESTRICTIVE	N
ALL_DGN	220	SCLERODERMA - PULMONARY HYPERTENSION	N
ALL_DGN	300	COMMON VARIABLE IMMUNE DEFICIENCY	N
ALL_DGN	302	FIBROCAVITARY LUNG DISEASE	N
ALL_DGN	303	HYPOGAMMAGLOBULINEMIA	N
ALL_DGN	305	SHWACHMAN-DIAMOND SYNDROME	N
ALL_DGN	400	ALVEOLAR PROTEINOSIS	N
ALL_DGN	401	AMYLOIDOSIS	N
ALL_DGN	402	ARDS/PNEUMONIA	N
ALL_DGN	403	IIP: BOOP/COP	N
ALL_DGN	404	BRONCHIOLOALVEOLAR CARCINOMA (BAC)	N
ALL_DGN	405	CARCINOID TUMORLETS	N
ALL_DGN	406	CHRONIC PNEUMONITIS OF INFANCY	N
ALL_DGN	407	COLLAGEN VASCULAR DISEASES	N
ALL_DGN	408	CONNECTIVE TISSUE DISEASE	N
ALL_DGN	409	CREST	N
ALL_DGN	410	CUTIS LAXA	N
ALL_DGN	411	DESQUAMATIVE INTERSTITIAL PNEUMONITIS (DIP)	N
ALL_DGN	412	EHLERS-DANLOS SYNDROME	N
ALL_DGN	413	EOSINOPHILIC GRANULOMA	N
ALL_DGN	414	EOSINOPHILIC GRANULOMATOSIS	N
ALL_DGN	415	EOSINOPHILIC PNEUMONIAL CHRONIC GRANULOMATOSIS	N
ALL_DGN	416	FIBROSING MEDIASTINITIS	N
ALL_DGN	417	GRAFT-VS-HOST DISEASE (GVHD)	N
ALL_DGN	418	HERMANSKY PUDLAK SYNDROME	N
ALL_DGN	419	HISTIOCYTOSIS X	N
ALL_DGN	420	HYPERSENSITIVITY PNEUMONITIS	N
ALL_DGN	422	IDIOPATHIC PULMONARY HEMOSIDEROSIS	N
ALL_DGN	423	INTERSTITIAL PNEUMONITIS	N
ALL_DGN	424	IIP: LYMPHOCYTIC INTERSTITIAL PNEUMONIA (LIP)	N
ALL_DGN	432	LUPUS	N
ALL_DGN	433	MACLEOD SYNDROME	N
ALL_DGN	434	MIXED CONNECTIVE TISSUE DISEASE	N
ALL_DGN	437	PARANEOPLASTIC PEMPHIGUS ASSOCIATED CASTLEMAN'S DISEASE	N
ALL_DGN	438	POLYMYOSITIS	N
ALL_DGN	440	PULMONARY HYALINIZING GRANULOMA	N
ALL_DGN	441	PULMONARY LANGERHANS CELL GRANULOMATOSIS	N
ALL_DGN	442	PULMONARY TELENGECTASIA	N
ALL_DGN	444	RESTRICTIVE LUNG DISEASE	N
ALL_DGN	446	SCLERODERMA	N
ALL_DGN	447	SJOGREN'S SYNDROME	N
ALL_DGN	448	SILICOSIS	N
ALL_DGN	449	SURFACTANT PROTEIN B DEFICIENCY	N
ALL_DGN	450	SWYER JAMES SYNDROME	N
ALL_DGN	451	TERATOMA	N
ALL_DGN	452	TRACHEOPATHIA OSTEOPLASTICA	N
ALL_DGN	453	USUAL INTERSTITIAL PNEUMONITIS	N
ALL_DGN	454	WEGENER'S GRANULOMA	N
ALL_DGN	999	OTHER SPECIFY	N
ALL_DGN	1000	DILATED MYOPATHY: IDIOPATHIC	N
ALL_DGN	1001	DILATED MYOPATHY: ADRIAMYCIN	N
ALL_DGN	1002	DILATED MYOPATHY: POST PARTUM	N
ALL_DGN	1003	DILATED MYOPATHY: FAMILIAL	N
ALL_DGN	1004	DILATED MYOPATHY: MYOCARDITIS	N
ALL_DGN	1005	DILATED MYOPATHY: ALCOHOLIC	N
ALL_DGN	1006	DILATED MYOPATHY: VIRAL	N
ALL_DGN	1007	DILATED MYOPATHY: ISCHEMIC	N
ALL_DGN	1008	DILATED MYOPATHY: VIRAL (NOT COVID-19)	N
ALL_DGN	1009	COVID-19: DILATED MYOPATHY: ACTIVE MYOCARDITIS	N
ALL_DGN	1010	COVID-19: DILATED MYOPATHY: HISTORY OF MYOCARDITIS	N
ALL_DGN	1049	DILATED MYOPATHY: OTHER SPECIFY	N
ALL_DGN	1050	RESTRICTIVE MYOPATHY: IDIOPATHIC	N
ALL_DGN	1051	RESTRICTIVE MYOPATHY: AMYLOIDOSIS	N
ALL_DGN	1052	RESTRICTIVE MYOPATHY: ENDOCARDIAL FIBROS	N
ALL_DGN	1053	RESTRICTIVE MYOPATHY: SARCOIDOSIS	N
ALL_DGN	1054	RESTRICTIVE MYOPATHY: SEC TO RADIAT/CHEM	N
ALL_DGN	1099	RESTRICTIVE MYOPATHY: OTHER SPECIFY	N
ALL_DGN	1100	HEART RE-TX/GF: HYPERACUTE REJECTION	N
ALL_DGN	1101	HEART RE-TX/GF: ACUTE REJECTION	N
ALL_DGN	1102	HEART RE-TX/GF: CORONARY ARTERY DISEASE	N
ALL_DGN	1103	HEART RE-TX/GF: NON-SPECIFIC	N
ALL_DGN	1104	HEART RE-TX/GF: RESTRICTIVE/CONSTRICTIVE	N
ALL_DGN	1105	HEART RE-TX/GF: CHRONIC REJECTION	N
ALL_DGN	1106	HEART RE-TX/GF: PRIMARY FAILURE	N
ALL_DGN	1199	HEART RE-TX/GF: OTHER SPECIFY	N
ALL_DGN	1200	CORONARY ARTERY DISEASE	N
ALL_DGN	1201	HYPERTROPHIC CARDIOMYOPATHY	N
ALL_DGN	1202	VALVULAR HEART DISEASE	N
ALL_DGN	1203	CONGENITAL HEART DEFECT - PRIOR SURGERY UNKNOWN	N
ALL_DGN	1204	CANCER	N
ALL_DGN	1205	CONGENITAL HEART DEFECT - HYPOPLASTIC LEFT HEART SYNDROME - UNOPERATED	N
ALL_DGN	1206	CONGENITAL HEART DEFECT - WITHOUT SURGERY	N
ALL_DGN	1207	CONGENITAL HEART DEFECT - WITH SURGERY	N
ALL_DGN	1208	ARRHYTHMOGENIC RIGHT VENTRICULAR DYSPLASIA/CARDIOMYOPATHY	N
ALL_DGN	1209	MUSCULAR DYSTROPHY: OTHER SPECIFY	N
ALL_DGN	1497	CARDIAC DISEASE: OTHER SPECIFY	N
ALL_DGN	1498	HEART: OTHER SPECIFY	N
ALL_DGN	1500	EISENMENGER'S SYN: ATRIAL SEPTAL DEFECT	N
ALL_DGN	1501	EISENMENGER'S SYN: VSD	N
ALL_DGN	1502	EISENMENGER'S SYN: PDA	N
ALL_DGN	1517	PULMONARY CAPILLARY HEMANGIOMATOSIS	N
ALL_DGN	1518	ABCA3 TRANSPORTER MUTATION	N
ALL_DGN	1519	SECONDARY PULMONARY FIBROSIS (SPECIFY CAUSE)	N
ALL_DGN	1520	SURFACTANT PROTEIN C DEFICIENCY	N
ALL_DGN	1521	IIP: NONSPECIFIC INTERSTITIAL PNEUMONIA	N
ALL_DGN	1522	IIP: RESPIRATORY BRONCHIOLITIS	N
ALL_DGN	1523	IIP: DESQUAMATIVE INTERSTITIAL PNEUMONIA	N
ALL_DGN	1524	IIP: ACUTE INTERSTITIAL PNEUMONIA	N
ALL_DGN	1525	PULMONARY LYMPHANGIECTASIA (PL)	N
ALL_DGN	1548	EISENMENGER'S SYN: MULTI CONGENITAL ANOMALIES	N
ALL_DGN	1549	EISENMENGER'S SYN: OTHER SPECIFY	N
ALL_DGN	1550	LUNG RE-TX/GF: NON-SPECIFIC	N
ALL_DGN	1551	LUNG RE-TX/GF: OBLITERATIVE BRONCHIOLITI	N
ALL_DGN	1552	LUNG RE-TX/GF: RESTRICTIVE	N
ALL_DGN	1553	LUNG RE-TX/GF: ACUTE REJECTION	N
ALL_DGN	1554	LUNG RE-TX/GF: OBSTRUCTIVE	N
ALL_DGN	1555	LUNG RE-TX/GF: PRIMARY GRAFT FAILURE	N
ALL_DGN	1556	LUNG RE-TX/GF: OBLITERATIVE BRONCHIOLITIS-RESTRICTIVE	N
ALL_DGN	1557	LUNG RE-TX/GF: OBLITERATIVE BRONCHIOLITIS-OBSTRUCTIVE	N
ALL_DGN	1599	LUNG RE-TX/GF: OTHER SPECIFY	N
ALL_DGN	1600	CONGENITAL: OTHER SPECIFY	N
ALL_DGN	1601	PULMONARY HYPERTENSION/PULMONARY ARTERIAL HYPERTENSION	N
ALL_DGN	1602	CYSTIC FIBROSIS	N
ALL_DGN	1603	INHALATION BURNS/TRAUMA	N
ALL_DGN	1604	IIP: IDIOPATHIC PULMONARY FIBROSIS (IPF)	N
ALL_DGN	1605	SARCOIDOSIS	N
ALL_DGN	1606	ALPHA - 1 - ANTITRYPSIN DEFICIENCY	N
ALL_DGN	1607	COPD/EMPHYSEMA	N
ALL_DGN	1608	BRONCHIECTASIS	N
ALL_DGN	1609	RHEUMATOID DISEASE	N
ALL_DGN	1610	OCCUPATIONAL LUNG DISEASE OTHER SPECIFY	N
ALL_DGN	1611	LYMPHANGIOLEIOMYOMATOSIS	N
ALL_DGN	1612	OBLITERATIVE BRONCHIOLITIS (NON-RETRANSPLANT)	N
ALL_DGN	1613	PULMONARY FIBROSIS OTHER SPECIFY CAUSE	N
ALL_DGN	1614	PULMONARY VASCULAR DISEASE	N
ALL_DGN	1615	SECONDARY PULMONARY HYPERTENSION	N
ALL_DGN	1616	COVID-19: ARDS	N
ALL_DGN	1617	COVID-19: PULMONARY FIBROSIS	N
ALL_DGN	1620	COMBINED PULMONARY FIBROSIS AND EMPHYSEMA (CPFE)	N
ALL_DGN	1700	HEART/LUNG RE-TX/GF: PRIMARY FAILURE	N
ALL_DGN	1997	LUNG DISEASE: OTHER SPECIFY	N
ALL_DGN	1999	UNKNOWN / CONVERTED RECORDS ONLY	N
ALL_DGN	3000	IDIO/POST-INF CRESCENTIC GLOMERULONEPHRI	N
ALL_DGN	3001	MEMBRANOUS GLOMERULONEPHRITIS	N
ALL_DGN	3002	MESANGIO-CAPILLARY 1 GLOMERULONEPHRITIS	N
ALL_DGN	3003	MESANGIO-CAPILLARY 2 GLOMERULONEPHRITIS	N
ALL_DGN	3004	IGA NEPHROPATHY	N
ALL_DGN	3005	ANTI-GBM	N
ALL_DGN	3006	FOCAL GLOMERULAR SCLEROSIS (FOCAL SEGMENTAL - FSG)	N
ALL_DGN	3007	CHRONIC PYELONEPHRITIS/REFLUX NEPHROPATH	N
ALL_DGN	3008	POLYCYSTIC KIDNEYS	N
ALL_DGN	3009	NEPHRITIS	N
ALL_DGN	3010	NEPHRONOPHTHISIS	N
ALL_DGN	3011	DIABETES - TYPE I INSULIN DEP/JUV ONSET	N
ALL_DGN	3012	DIABETES - TYPE II NON-INSULIN DEP/ADULT	N
ALL_DGN	3013	OXALATE NEPHROPATHY (INCLUDES HEREDITARY OXALOSIS)	N
ALL_DGN	3014	CYSTINOSIS	N
ALL_DGN	3015	FABRY'S DISEASE	N
ALL_DGN	3016	AMYLOIDOSIS	N
ALL_DGN	3017	GOUT	N
ALL_DGN	3018	SYSTEMIC LUPUS ERYTHEMATOSUS	N
ALL_DGN	3019	PROGRESSIVE SYSTEMIC SCLEROSIS	N
ALL_DGN	3020	WILMS' TUMOR	N
ALL_DGN	3021	RENAL CELL CARCINOMA	N
ALL_DGN	3022	INCIDENTAL CARCINOMA	N
ALL_DGN	3023	MYELOMA	N
ALL_DGN	3024	HEMOLYTIC UREMIC SYNDROME	N
ALL_DGN	3025	HYPOPLASIA/DYSPLASIA/DYSGENSIS/AGENESIS	N
ALL_DGN	3026	CORTICAL NECROSIS	N
ALL_DGN	3027	ACUTE TUBULAR NECROSIS	N
ALL_DGN	3028	MEDULLARY CYSTIC DISEASE	N
ALL_DGN	3029	SICKLE CELL ANEMIA	N
ALL_DGN	3030	ACQUIRED OBSTRUCTIVE NEPHROPATHY	N
ALL_DGN	3031	ALPORT'S SYNDROME	N
ALL_DGN	3032	FAMILIAL NEPHROPATHY	N
ALL_DGN	3033	GOODPASTURE'S SYNDROME	N
ALL_DGN	3034	MALIGNANT HYPERTENSION	N
ALL_DGN	3035	HENOCH-SCHOENLEIN PURPURA	N
ALL_DGN	3036	PRUNE BELLY SYNDROME	N
ALL_DGN	3037	RETRANSPLANT/GRAFT FAILURE	N
ALL_DGN	3038	DIABETES - TYPE I NON-INSULIN DEP/JUV ON	N
ALL_DGN	3039	DIABETES - TYPE II INSULIN DEP/ADULT ONS	N
ALL_DGN	3040	HYPERTENSIVE NEPHROSCLEROSIS	N
ALL_DGN	3041	CHRONIC GLOMERULONEPHRITIS UNSPECIFIED	N
ALL_DGN	3042	MEMBRANOUS NEPHROPATHY	N
ALL_DGN	3043	CHRONIC GLOMERULOSCLEROSIS UNSPECIFIED	N
ALL_DGN	3044	ANALGESIC NEPHROPATHY	N
ALL_DGN	3045	RADIATION NEPHRITIS	N
ALL_DGN	3046	ANTIBIOTIC-INDUCED NEPHRITIS	N
ALL_DGN	3047	CANCER CHEMOTHERAPY INDUCED NEPHRITIS	N
ALL_DGN	3048	CALCINEURIN INHIBITOR NEPHROTOXICITY	N
ALL_DGN	3049	HEROIN NEPHROTOXICITY	N
ALL_DGN	3050	RENAL ARTERY THROMBOSIS	N
ALL_DGN	3051	CHRONIC NEPHROSCLEROSIS-UNSPECIFIED	N
ALL_DGN	3052	CONGENITAL OBSTRUCTIVE UROPATHY	N
ALL_DGN	3053	SCLERODERMA	N
ALL_DGN	3054	WEGENERS GRANULOMATOSIS	N
ALL_DGN	3055	POLYARTERITIS	N
ALL_DGN	3056	RHEUMATOID ARTHRITIS	N
ALL_DGN	3057	SARCOIDOSIS	N
ALL_DGN	3058	LYMPHOMA	N
ALL_DGN	3059	NEPHROLITHIASIS	N
ALL_DGN	3060	UROLITHIASIS	N
ALL_DGN	3061	DYSPLASIA	N
ALL_DGN	3062	PRE-BMTRANSPLANTATION TOTAL BODY IRRADIATION	N
ALL_DGN	3063	DRUG RELATED INTERSTITIAL NEPHRITIS	N
ALL_DGN	3064	THIN BASEMENT MEMBRANE DISEASE	N
ALL_DGN	3065	HEREDITARY OXALOSIS (PEDIATRIC PATIENTS)	N
ALL_DGN	3066	CHOLESTEROL EMBOLIZATION	N
ALL_DGN	3067	FSG - FOCAL SEGMENTAL GLOMERULOSCLEROSIS	N
ALL_DGN	3068	RAPID PROGRESSIVE GLOMERULONEPHRITIS (RPGN)	N
ALL_DGN	3069	DIABETES MELLITUS - TYPE I	N
ALL_DGN	3070	DIABETES MELLITUS - TYPE II	N
ALL_DGN	3071	DIABETES MELLITUS - TYPE OTHER / UNKNOWN	N
ALL_DGN	3072	HEPATORENAL SYNDROME	N
ALL_DGN	3073	LITHIUM TOXICITY	N
ALL_DGN	3074	HIV NEPHROPATHY	N
ALL_DGN	4100	AHN: DRUG OTHER SPECIFY	N
ALL_DGN	4101	AHN: TYPE A	N
ALL_DGN	4102	AHN: TYPE B- HBSAG+	N
ALL_DGN	4103	AHN: NON A- NON B	N
ALL_DGN	4104	AHN: TYPE C	N
ALL_DGN	4105	AHN: TYPE D	N
ALL_DGN	4106	AHN: TYPE B AND C	N
ALL_DGN	4107	AHN: TYPE B AND D	N
ALL_DGN	4108	AHN: ETIOLOGY UNKNOWN	N
ALL_DGN	4110	AHN: OTHER, SPECIFY (E.G., ACUTE VIRAL INFECTION, AUTOIMMUNE HEPATITIS - FULMINANT)	N
ALL_DGN	4200	CIRRHOSIS: DRUG/INDUST EXPOSURE OTHER SPECIFY	N
ALL_DGN	4201	CIRRHOSIS: TYPE A	N
ALL_DGN	4202	CIRRHOSIS: TYPE B- HBSAG+	N
ALL_DGN	4203	CIRRHOSIS: TYPE NON A, NON B	N
ALL_DGN	4204	CIRRHOSIS: TYPE C	N
ALL_DGN	4205	CIRRHOSIS: TYPE D	N
ALL_DGN	4206	CIRRHOSIS: TYPE B AND C	N
ALL_DGN	4207	CIRRHOSIS: TYPE B AND D	N
ALL_DGN	4208	CIRRHOSIS: CRYPTOGENIC- IDIOPATHIC	N
ALL_DGN	4209	CIRRHOSIS: CHRONIC ACTIVE HEPATITIS: ETIOLOGY UNKNOWN	N
ALL_DGN	4210	CIRRHOSIS: OTHER, SPECIFY (E.G., HISTIOCYTOSIS, SARCOIDOSIS, GRANULOMATOUS)	N
ALL_DGN	4212	CIRRHOSIS: AUTOIMMUNE	N
ALL_DGN	4213	CIRRHOSIS: CRYPTOGENIC (IDIOPATHIC)	N
ALL_DGN	4214	CIRRHOSIS: FATTY LIVER (NASH)	N
ALL_DGN	4215	ALCOHOLIC CIRRHOSIS	N
ALL_DGN	4216	ALCOHOLIC CIRRHOSIS WITH HEPATITIS C	N
ALL_DGN	4217	ACUTE ALCOHOLIC HEPATITIS	N
ALL_DGN	4218	ACUTE ALCOHOL-ASSOCIATED HEPATITIS WITH OR WITHOUT CIRRHOSIS	N
ALL_DGN	4219	ALCOHOL-ASSOCIATED CIRRHOSIS WITHOUT ACUTE ALCOHOL-ASSOCIATED HEPATITIS	N
ALL_DGN	4220	PRIMARY BILIARY CIRRHOSIS (PBC)	N
ALL_DGN	4230	SEC BILIARY CIRRHOSIS: CAROLI'S DISEASE	N
ALL_DGN	4231	SEC BILIARY CIRRHOSIS: CHOLEDOCHOL CYST	N
ALL_DGN	4235	SEC BILIARY CIRRHOSIS: OTHER SPECIFY	N
ALL_DGN	4240	PSC: CROHN'S DISEASE	N
ALL_DGN	4241	PSC: ULCERATIVE COLITIS	N
ALL_DGN	4242	PSC: NO BOWEL DISEASE	N
ALL_DGN	4245	PSC: OTHER SPECIFY	N
ALL_DGN	4250	FAMILIAL CHOLESTASIS: BYLER'S DISEASE	N
ALL_DGN	4255	FAMILIAL CHOLESTASIS: OTHER SPECIFY	N
ALL_DGN	4260	CHOLES LIVER DISEASE: OTHER SPECIFY	N
ALL_DGN	4264	NEONATAL CHOLESTATIC LIVER DISEASE	N
ALL_DGN	4265	NEONATAL HEPATITIS OTHER SPECIFY	N
ALL_DGN	4270	BILIARY ATRESIA: EXTRAHEPATIC	N
ALL_DGN	4271	BILIARY HYPOPLASIA: NONSYNDROMIC PAUCITY OF INTRAHEPATIC BILE DUCT	N
ALL_DGN	4272	BILIARY HYPOPLASIA: ALAGILLE’S SYNDROME (PAUCITY OF INTRAHEPATIC BILE DUCT)	N
ALL_DGN	4275	BILIARY ATRESIA OR HYPOPLASIA: OTHER, SPECIFY	N
ALL_DGN	4280	CONGENITAL HEPATIC FIBROSIS	N
ALL_DGN	4285	CYSTIC FIBROSIS	N
ALL_DGN	4290	BUDD-CHIARI SYNDROME	N
ALL_DGN	4300	METDIS: ALPHA-1-ANTITRYPSIN DEFIC A-1-A	N
ALL_DGN	4301	METDIS: WILSON'S DISEASE, OTHER COPPER METABOLISM DISORDER	N
ALL_DGN	4302	METDIS: HEMOCHROMATOSIS - HEMOSIDEROSIS	N
ALL_DGN	4303	METDIS: GLYC STOR DIS TYPE I (GSD-I)	N
ALL_DGN	4304	METDIS: GLYC STOR DIS TYPE IV (GSD-IV)	N
ALL_DGN	4305	METDIS: HYPERLIPIDEMIA-II, HOMOZYGOUS HYPERCHOLESTEROLEMIA	N
ALL_DGN	4306	METDIS: TYROSINEMIA	N
ALL_DGN	4307	METDIS: PRIMARY OXALOSIS/OXALURIA, HYPEROXALURIA	N
ALL_DGN	4308	METDIS: MAPLE SYRUP URINE DISEASE	N
ALL_DGN	4315	METDIS: OTHER SPECIFY	N
ALL_DGN	4400	PLM: HEPATOMA - HEPATOCELLULAR CARCINOMA	N
ALL_DGN	4401	PLM: HEPATOMA (HCC) AND CIRRHOSIS	N
ALL_DGN	4402	PLM: FIBROLAMELLAR (FL-HC)	N
ALL_DGN	4403	PLM: CHOLANGIOCARCINOMA (CH-CA)	N
ALL_DGN	4404	PLM: HEPATOBLASTOMA (HBL)	N
ALL_DGN	4405	PLM: HEMANGIOENDOTHELIOMA, HEMANGIOSARCOMA, ANGIOSARCOMA	N
ALL_DGN	4410	PLM: OTHER SPECIFY (I.E., KLATZKIN TUMOR, LEIOMYSARCOMA)	N
ALL_DGN	4420	BILE DUCT CANCER: (CHOLANGIOMA, BILIARY TRACT CARCINOMA)	N
ALL_DGN	4430	SECONDARY HEPATIC MALIGNANCY OTHER SPECIFY	N
ALL_DGN	4450	BENIGN TUMOR: HEPATIC ADENOMA	N
ALL_DGN	4451	BENIGN TUMOR: POLYCYSTIC LIVER DISEASE	N
ALL_DGN	4455	BENIGN TUMOR: OTHER SPECIFY	N
ALL_DGN	4500	TPN/HYPERALIMENTATION IND LIVER DISEASE	N
ALL_DGN	4510	GRAFT VS. HOST DIS SEC TO NON-LI TX	N
ALL_DGN	4520	TRAUMA OTHER SPECIFY	N
ALL_DGN	4592	Hepatitis B: Chronic or Acute	N
ALL_DGN	4593	Hepatitis C: Chronic or Acute	N
ALL_DGN	4597	NA: Non-HD Followups Only	N
ALL_DGN	4598	GRAFT FAILURE	N
ALL_DGN	5000	RETRANSPLANT/GRAFT FAILURE	N
ALL_DGN	5001	DIABETES MELLITUS - TYPE I	N
ALL_DGN	5002	DIABETES MELLITUS - TYPE II	N
ALL_DGN	5003	DIABETES SECONDARY TO CHRONIC PANCREATITIS WITHOUT PANCREATECTOMY	N
ALL_DGN	5004	DIABETES SECONDARY TO CYSTIC FIBROSIS WITHOUT PANCREATECTOMY	N
ALL_DGN	5005	PANCREATIC CANCER	N
ALL_DGN	5006	BILE DUCT CANCER	N
ALL_DGN	5007	OTHER CANCERS	N
ALL_DGN	5008	PANCREATECTOMY PRIOR TO PANCREAS TX	N
ALL_DGN	5009	DIABETES MELLITUS - TYPE OTHER / UNKNOWN	N
ALL_DGN	6000	SGS: INTESTINAL ATRESIA	N
ALL_DGN	6001	SGS: NECROTIZING ENTEROCOLITIS	N
ALL_DGN	6002	SGS: INTESTINAL VOLVULUS SECONDARY TO MALROTATION	N
ALL_DGN	6003	SGS: INTESTINAL VOLVULUS SECONDARY TO ADHESIONS	N
ALL_DGN	6004	SGS: INTESTINAL VOLVULUS SECONDARY TO PERSISTENT OMPHALOMESENTRERIC DUCT	N
ALL_DGN	6005	SGS: GASTROSCHISIS	N
ALL_DGN	6006	SGS: MASS RESECT SEC TO INF BOWEL-CROHNS	N
ALL_DGN	6007	SGS: MASS RESECT SEC TO TUMOR	N
ALL_DGN	6008	SGS: MASSIVE RESECTION SECONDARY TO MESENTERIC ARTERIAL THROMBOSIS OR EMBOLUS	N
ALL_DGN	6009	SGS: MASS RESECT SEC TO MES VENOUS THROM	N
ALL_DGN	6048	SGS: OTHER SPECIFY	N
ALL_DGN	6049	SGS: UNSPECIFIED	N
ALL_DGN	6050	FBP: HIRSCHSPRUNG'S DISEASE	N
ALL_DGN	6051	FBP: NEURONAL INTESTINAL DYSPLASIA	N
ALL_DGN	6052	FBP: PSEUDO-OBSTRUCTION-NEUROPATHIC	N
ALL_DGN	6053	FBP: PSEUDO-OBSTRUCTION-MYOPATHIC	N
ALL_DGN	6054	FBP: PROTEIN-LOSING ENTEROPATHY	N
ALL_DGN	6055	FBP: MICROVILLOUS INCLUSION DISEASE	N
ALL_DGN	6098	FBP: OTHER SPECIFY	N
ALL_DGN	6099	FBP: UNSPECIFIED	N
ALL_DGN	6100	GRAFT FAILURE	N
ALL_DGN	6150	RETRANSPLANT	N
ALL_DGN	6497	INTESTINAL DISEASE OTHER SPECIFY	N
ALL_DGN	**OTHER**	Unknown	N
